"Gene","Tissue","Group"
"Sh3gl3","Myelinating Oligodendrocytes","Group enriched"
"Sh3gl3","Newly Formed Oligodendrocyte","Group enriched"
"Cyp2j9","Oligodendrocyte Precursor Cell","Group enriched"
"Cyp2j9","Astrocytes","Group enriched"
"Cyp2j9","Newly Formed Oligodendrocyte","Group enriched"
"Casc4","Oligodendrocyte Precursor Cell","Group enriched"
"Casc4","Neuron","Group enriched"
"Casc4","Astrocytes","Group enriched"
"Casc4","Newly Formed Oligodendrocyte","Group enriched"
"Casc4","Myelinating Oligodendrocytes","Group enriched"
"Zfp644","Astrocytes","Group enriched"
"Zfp644","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp644","Endothelial Cells","Group enriched"
"Zfp644","Neuron","Group enriched"
"Zfp644","Newly Formed Oligodendrocyte","Group enriched"
"Zfp644","Myelinating Oligodendrocytes","Group enriched"
"Cldn12","Astrocytes","Group enriched"
"Cldn12","Oligodendrocyte Precursor Cell","Group enriched"
"Cldn12","Newly Formed Oligodendrocyte","Group enriched"
"Cldn12","Neuron","Group enriched"
"Cldn12","Endothelial Cells","Group enriched"
"Cldn12","Myelinating Oligodendrocytes","Group enriched"
"Phip","Astrocytes","Group enriched"
"Phip","Oligodendrocyte Precursor Cell","Group enriched"
"Phip","Neuron","Group enriched"
"Phip","Endothelial Cells","Group enriched"
"Phip","Newly Formed Oligodendrocyte","Group enriched"
"AI464131","Astrocytes","Tissue enriched"
"Arl13b","Neuron","Group enriched"
"Arl13b","Endothelial Cells","Group enriched"
"Arl13b","Astrocytes","Group enriched"
"Arl13b","Oligodendrocyte Precursor Cell","Group enriched"
"Arl13b","Newly Formed Oligodendrocyte","Group enriched"
"Arl13b","Myelinating Oligodendrocytes","Group enriched"
"BC030336","Neuron","Group enriched"
"BC030336","Oligodendrocyte Precursor Cell","Group enriched"
"BC030336","Newly Formed Oligodendrocyte","Group enriched"
"BC030336","Astrocytes","Group enriched"
"BC030336","Endothelial Cells","Group enriched"
"BC030336","Myelinating Oligodendrocytes","Group enriched"
"Necab2","Oligodendrocyte Precursor Cell","Group enriched"
"Necab2","Neuron","Group enriched"
"Necab2","Newly Formed Oligodendrocyte","Group enriched"
"Masp2","Astrocytes","Group enriched"
"Masp2","Neuron","Group enriched"
"Masp2","Oligodendrocyte Precursor Cell","Group enriched"
"Masp2","Newly Formed Oligodendrocyte","Group enriched"
"Mgat3","Newly Formed Oligodendrocyte","Group enriched"
"Mgat3","Myelinating Oligodendrocytes","Group enriched"
"Mgat3","Oligodendrocyte Precursor Cell","Group enriched"
"Mgat3","Neuron","Group enriched"
"Mgat3","Astrocytes","Group enriched"
"Ppp1r3c","Astrocytes","Tissue enriched"
"Gm5424","Neuron","Group enriched"
"Gm5424","Endothelial Cells","Group enriched"
"Sez6","Neuron","Group enriched"
"Sez6","Oligodendrocyte Precursor Cell","Group enriched"
"Manea","Astrocytes","Group enriched"
"Manea","Newly Formed Oligodendrocyte","Group enriched"
"Manea","Oligodendrocyte Precursor Cell","Group enriched"
"Manea","Endothelial Cells","Group enriched"
"Manea","Neuron","Group enriched"
"Manea","Myelinating Oligodendrocytes","Group enriched"
"Pnpt1","Astrocytes","Group enriched"
"Pnpt1","Oligodendrocyte Precursor Cell","Group enriched"
"Pnpt1","Neuron","Group enriched"
"Pnpt1","Endothelial Cells","Group enriched"
"Pnpt1","Newly Formed Oligodendrocyte","Group enriched"
"Pnpt1","Myelinating Oligodendrocytes","Group enriched"
"Shisa7","Oligodendrocyte Precursor Cell","Group enriched"
"Shisa7","Neuron","Group enriched"
"Shisa7","Newly Formed Oligodendrocyte","Group enriched"
"Irak1bp1","Oligodendrocyte Precursor Cell","Group enriched"
"Irak1bp1","Astrocytes","Group enriched"
"Irak1bp1","Neuron","Group enriched"
"Irak1bp1","Newly Formed Oligodendrocyte","Group enriched"
"Mog","Myelinating Oligodendrocytes","Group enriched"
"Mog","Newly Formed Oligodendrocyte","Group enriched"
"Add2","Neuron","Group enriched"
"Add2","Oligodendrocyte Precursor Cell","Group enriched"
"Daam2","Astrocytes","Tissue enriched"
"Map6d1","Myelinating Oligodendrocytes","Group enriched"
"Map6d1","Newly Formed Oligodendrocyte","Group enriched"
"Ankrd28","Newly Formed Oligodendrocyte","Group enriched"
"Ankrd28","Oligodendrocyte Precursor Cell","Group enriched"
"Ankrd28","Endothelial Cells","Group enriched"
"Ankrd28","Astrocytes","Group enriched"
"Ankrd28","Myelinating Oligodendrocytes","Group enriched"
"Ankrd28","Neuron","Group enriched"
"Satb1","Oligodendrocyte Precursor Cell","Group enriched"
"Satb1","Astrocytes","Group enriched"
"Satb1","Newly Formed Oligodendrocyte","Group enriched"
"Satb1","Neuron","Group enriched"
"Satb1","Myelinating Oligodendrocytes","Group enriched"
"Rcor3","Astrocytes","Group enriched"
"Rcor3","Neuron","Group enriched"
"Rcor3","Oligodendrocyte Precursor Cell","Group enriched"
"Rcor3","Endothelial Cells","Group enriched"
"Rcor3","Newly Formed Oligodendrocyte","Group enriched"
"Rcor3","Myelinating Oligodendrocytes","Group enriched"
"Ctsw","Endothelial Cells","Tissue enriched"
"Dhx36","Astrocytes","Group enriched"
"Dhx36","Neuron","Group enriched"
"Dhx36","Oligodendrocyte Precursor Cell","Group enriched"
"Dhx36","Newly Formed Oligodendrocyte","Group enriched"
"Dhx36","Endothelial Cells","Group enriched"
"Mgat5b","Neuron","Group enriched"
"Mgat5b","Oligodendrocyte Precursor Cell","Group enriched"
"Mgat5b","Newly Formed Oligodendrocyte","Group enriched"
"Daam1","Neuron","Group enriched"
"Daam1","Astrocytes","Group enriched"
"Daam1","Newly Formed Oligodendrocyte","Group enriched"
"Daam1","Endothelial Cells","Group enriched"
"Daam1","Oligodendrocyte Precursor Cell","Group enriched"
"Daam1","Myelinating Oligodendrocytes","Group enriched"
"Rps6kl1","Neuron","Group enriched"
"Rps6kl1","Oligodendrocyte Precursor Cell","Group enriched"
"Rps6kl1","Newly Formed Oligodendrocyte","Group enriched"
"Lass4","Oligodendrocyte Precursor Cell","Group enriched"
"Lass4","Neuron","Group enriched"
"Lass4","Endothelial Cells","Group enriched"
"Lass4","Astrocytes","Group enriched"
"Lass4","Newly Formed Oligodendrocyte","Group enriched"
"Top2a","Oligodendrocyte Precursor Cell","Group enriched"
"Top2a","Astrocytes","Group enriched"
"Top2a","Endothelial Cells","Group enriched"
"Fam18a","Oligodendrocyte Precursor Cell","Group enriched"
"Fam18a","Neuron","Group enriched"
"Fam18a","Newly Formed Oligodendrocyte","Group enriched"
"Fam18a","Astrocytes","Group enriched"
"Fam18a","Myelinating Oligodendrocytes","Group enriched"
"Ptch1","Astrocytes","Tissue enriched"
"Cpne8","Endothelial Cells","Group enriched"
"Cpne8","Oligodendrocyte Precursor Cell","Group enriched"
"Cpne8","Neuron","Group enriched"
"Cpne8","Astrocytes","Group enriched"
"Zkscan1","Oligodendrocyte Precursor Cell","Group enriched"
"Zkscan1","Newly Formed Oligodendrocyte","Group enriched"
"Zkscan1","Astrocytes","Group enriched"
"Zkscan1","Neuron","Group enriched"
"Zkscan1","Endothelial Cells","Group enriched"
"Tulp3","Astrocytes","Tissue enriched"
"Terf1","Endothelial Cells","Group enriched"
"Terf1","Astrocytes","Group enriched"
"Terf1","Neuron","Group enriched"
"Terf1","Oligodendrocyte Precursor Cell","Group enriched"
"Terf1","Newly Formed Oligodendrocyte","Group enriched"
"Cyp4f15","Astrocytes","Tissue enriched"
"Maoa","Endothelial Cells","Tissue enriched"
"Epb4.1l3","Myelinating Oligodendrocytes","Group enriched"
"Epb4.1l3","Neuron","Group enriched"
"Epb4.1l3","Newly Formed Oligodendrocyte","Group enriched"
"Epb4.1l3","Oligodendrocyte Precursor Cell","Group enriched"
"Amt","Astrocytes","Group enriched"
"Amt","Oligodendrocyte Precursor Cell","Group enriched"
"Amt","Newly Formed Oligodendrocyte","Group enriched"
"Amt","Neuron","Group enriched"
"Amt","Endothelial Cells","Group enriched"
"Amt","Myelinating Oligodendrocytes","Group enriched"
"Tril","Astrocytes","Group enriched"
"Tril","Oligodendrocyte Precursor Cell","Group enriched"
"Nedd9","Astrocytes","Group enriched"
"Nedd9","Endothelial Cells","Group enriched"
"Hey1","Endothelial Cells","Group enriched"
"Hey1","Astrocytes","Group enriched"
"Hey1","Oligodendrocyte Precursor Cell","Group enriched"
"Hey1","Newly Formed Oligodendrocyte","Group enriched"
"Ankrd37","Endothelial Cells","Tissue enriched"
"Smad6","Endothelial Cells","Tissue enriched"
"Mtx3","Astrocytes","Group enriched"
"Mtx3","Neuron","Group enriched"
"Mtx3","Oligodendrocyte Precursor Cell","Group enriched"
"Mtx3","Newly Formed Oligodendrocyte","Group enriched"
"Cxcr7","Endothelial Cells","Group enriched"
"Cxcr7","Oligodendrocyte Precursor Cell","Group enriched"
"Acaca","Myelinating Oligodendrocytes","Group enriched"
"Acaca","Newly Formed Oligodendrocyte","Group enriched"
"Acaca","Astrocytes","Group enriched"
"Acaca","Oligodendrocyte Precursor Cell","Group enriched"
"Acaca","Neuron","Group enriched"
"Kitl","Endothelial Cells","Tissue enriched"
"Gm8817","Endothelial Cells","Tissue enhanced"
"Cacng8","Neuron","Group enriched"
"Cacng8","Oligodendrocyte Precursor Cell","Group enriched"
"Cacng8","Astrocytes","Group enriched"
"Cacng8","Newly Formed Oligodendrocyte","Group enriched"
"Hook3","Astrocytes","Group enriched"
"Hook3","Oligodendrocyte Precursor Cell","Group enriched"
"Hook3","Newly Formed Oligodendrocyte","Group enriched"
"Hook3","Neuron","Group enriched"
"Hook3","Endothelial Cells","Group enriched"
"Ndufa4l2","Endothelial Cells","Tissue enriched"
"6530418L21Rik","Astrocytes","Group enriched"
"6530418L21Rik","Oligodendrocyte Precursor Cell","Group enriched"
"5730455P16Rik","Neuron","Group enriched"
"5730455P16Rik","Oligodendrocyte Precursor Cell","Group enriched"
"5730455P16Rik","Newly Formed Oligodendrocyte","Group enriched"
"5730455P16Rik","Astrocytes","Group enriched"
"5730455P16Rik","Endothelial Cells","Group enriched"
"5730455P16Rik","Myelinating Oligodendrocytes","Group enriched"
"Als2cl","Astrocytes","Group enriched"
"Als2cl","Endothelial Cells","Group enriched"
"Als2cl","Oligodendrocyte Precursor Cell","Group enriched"
"Psd3","Astrocytes","Group enriched"
"Psd3","Neuron","Group enriched"
"Psd3","Newly Formed Oligodendrocyte","Group enriched"
"Psd3","Oligodendrocyte Precursor Cell","Group enriched"
"Psd3","Myelinating Oligodendrocytes","Group enriched"
"Psd3","Endothelial Cells","Group enriched"
"Kbtbd11","Oligodendrocyte Precursor Cell","Group enriched"
"Kbtbd11","Astrocytes","Group enriched"
"Kbtbd11","Endothelial Cells","Group enriched"
"Kbtbd11","Newly Formed Oligodendrocyte","Group enriched"
"Kbtbd11","Myelinating Oligodendrocytes","Group enriched"
"Kbtbd11","Neuron","Group enriched"
"Hyal1","Astrocytes","Group enriched"
"Hyal1","Endothelial Cells","Group enriched"
"Trp53inp1","Endothelial Cells","Group enriched"
"Trp53inp1","Astrocytes","Group enriched"
"Trp53inp1","Neuron","Group enriched"
"Trp53inp1","Oligodendrocyte Precursor Cell","Group enriched"
"Trp53inp1","Newly Formed Oligodendrocyte","Group enriched"
"Zbtb10","Endothelial Cells","Group enriched"
"Zbtb10","Astrocytes","Group enriched"
"Zbtb10","Neuron","Group enriched"
"Zbtb10","Oligodendrocyte Precursor Cell","Group enriched"
"Rgs11","Neuron","Tissue enriched"
"LOC106740","Neuron","Group enriched"
"LOC106740","Newly Formed Oligodendrocyte","Group enriched"
"LOC106740","Astrocytes","Group enriched"
"LOC106740","Myelinating Oligodendrocytes","Group enriched"
"LOC106740","Oligodendrocyte Precursor Cell","Group enriched"
"LOC106740","Endothelial Cells","Group enriched"
"Cdkn2b","Endothelial Cells","Tissue enriched"
"Pcm1","Astrocytes","Group enriched"
"Pcm1","Oligodendrocyte Precursor Cell","Group enriched"
"Pcm1","Newly Formed Oligodendrocyte","Group enriched"
"Pcm1","Neuron","Group enriched"
"Pcm1","Endothelial Cells","Group enriched"
"Pcm1","Myelinating Oligodendrocytes","Group enriched"
"Pcolce","Oligodendrocyte Precursor Cell","Group enriched"
"Pcolce","Endothelial Cells","Group enriched"
"Rfx7","Neuron","Group enriched"
"Rfx7","Astrocytes","Group enriched"
"Rfx7","Oligodendrocyte Precursor Cell","Group enriched"
"Rfx7","Newly Formed Oligodendrocyte","Group enriched"
"Rfx7","Endothelial Cells","Group enriched"
"Tdrd3","Astrocytes","Group enriched"
"Tdrd3","Endothelial Cells","Group enriched"
"Tdrd3","Neuron","Group enriched"
"Tdrd3","Newly Formed Oligodendrocyte","Group enriched"
"Tdrd3","Oligodendrocyte Precursor Cell","Group enriched"
"Tdrd3","Myelinating Oligodendrocytes","Group enriched"
"Sos1","Neuron","Group enriched"
"Sos1","Endothelial Cells","Group enriched"
"Sos1","Astrocytes","Group enriched"
"Sos1","Newly Formed Oligodendrocyte","Group enriched"
"Sos1","Oligodendrocyte Precursor Cell","Group enriched"
"Sos1","Myelinating Oligodendrocytes","Group enriched"
"Iglon5","Oligodendrocyte Precursor Cell","Group enriched"
"Iglon5","Neuron","Group enriched"
"Iglon5","Newly Formed Oligodendrocyte","Group enriched"
"Iglon5","Astrocytes","Group enriched"
"Klhl23","Oligodendrocyte Precursor Cell","Group enriched"
"Klhl23","Neuron","Group enriched"
"Klhl23","Astrocytes","Group enriched"
"Klhl23","Endothelial Cells","Group enriched"
"Klhl23","Newly Formed Oligodendrocyte","Group enriched"
"Aqp4","Astrocytes","Tissue enriched"
"Pcdhgb7","Oligodendrocyte Precursor Cell","Group enriched"
"Pcdhgb7","Astrocytes","Group enriched"
"Pcdhgb7","Newly Formed Oligodendrocyte","Group enriched"
"Pcdhgb7","Neuron","Group enriched"
"Fam60a","Endothelial Cells","Tissue enriched"
"Cpne7","Neuron","Tissue enriched"
"Slc29a4","Neuron","Group enriched"
"Slc29a4","Oligodendrocyte Precursor Cell","Group enriched"
"Slc29a4","Endothelial Cells","Group enriched"
"Kif22","Oligodendrocyte Precursor Cell","Group enriched"
"Kif22","Endothelial Cells","Group enriched"
"Kif22","Astrocytes","Group enriched"
"Agtpbp1","Neuron","Group enriched"
"Agtpbp1","Newly Formed Oligodendrocyte","Group enriched"
"Agtpbp1","Myelinating Oligodendrocytes","Group enriched"
"Agtpbp1","Oligodendrocyte Precursor Cell","Group enriched"
"Agtpbp1","Astrocytes","Group enriched"
"Agtpbp1","Endothelial Cells","Group enriched"
"Ccdc92","Neuron","Group enriched"
"Ccdc92","Myelinating Oligodendrocytes","Group enriched"
"Ccdc92","Newly Formed Oligodendrocyte","Group enriched"
"Ccdc92","Oligodendrocyte Precursor Cell","Group enriched"
"Ftsjd1","Astrocytes","Group enriched"
"Ftsjd1","Oligodendrocyte Precursor Cell","Group enriched"
"Ftsjd1","Neuron","Group enriched"
"Ftsjd1","Newly Formed Oligodendrocyte","Group enriched"
"Slc38a5","Endothelial Cells","Tissue enriched"
"Ahnak","Endothelial Cells","Group enriched"
"Ahnak","Astrocytes","Group enriched"
"Sod3","Endothelial Cells","Group enriched"
"Sod3","Astrocytes","Group enriched"
"Sod3","Oligodendrocyte Precursor Cell","Group enriched"
"Slmo1","Neuron","Group enriched"
"Slmo1","Astrocytes","Group enriched"
"Slmo1","Oligodendrocyte Precursor Cell","Group enriched"
"Ppic","Endothelial Cells","Tissue enriched"
"Sh3bp4","Oligodendrocyte Precursor Cell","Group enriched"
"Sh3bp4","Newly Formed Oligodendrocyte","Group enriched"
"Sh3bp4","Endothelial Cells","Group enriched"
"Col11a2","Newly Formed Oligodendrocyte","Group enriched"
"Col11a2","Oligodendrocyte Precursor Cell","Group enriched"
"Col11a2","Myelinating Oligodendrocytes","Group enriched"
"Cdh5","Endothelial Cells","Tissue enriched"
"Slc14a1","Astrocytes","Tissue enriched"
"Pou3f1","Oligodendrocyte Precursor Cell","Group enriched"
"Pou3f1","Myelinating Oligodendrocytes","Group enriched"
"Pou3f1","Newly Formed Oligodendrocyte","Group enriched"
"Elmod2","Oligodendrocyte Precursor Cell","Group enriched"
"Elmod2","Astrocytes","Group enriched"
"Elmod2","Newly Formed Oligodendrocyte","Group enriched"
"Elmod2","Endothelial Cells","Group enriched"
"Elmod2","Neuron","Group enriched"
"Elmod2","Myelinating Oligodendrocytes","Group enriched"
"Slc4a4","Astrocytes","Tissue enriched"
"Ptk2","Endothelial Cells","Group enriched"
"Ptk2","Astrocytes","Group enriched"
"Ptk2","Newly Formed Oligodendrocyte","Group enriched"
"Ptk2","Oligodendrocyte Precursor Cell","Group enriched"
"Ptk2","Myelinating Oligodendrocytes","Group enriched"
"Ptk2","Neuron","Group enriched"
"Samd10","Neuron","Group enriched"
"Samd10","Oligodendrocyte Precursor Cell","Group enriched"
"Samd10","Endothelial Cells","Group enriched"
"Scn2b","Neuron","Group enriched"
"Scn2b","Oligodendrocyte Precursor Cell","Group enriched"
"Fhl1","Neuron","Group enriched"
"Fhl1","Oligodendrocyte Precursor Cell","Group enriched"
"Fhl1","Astrocytes","Group enriched"
"Fhl1","Myelinating Oligodendrocytes","Group enriched"
"Fhl1","Newly Formed Oligodendrocyte","Group enriched"
"Abhd14b","Astrocytes","Group enriched"
"Abhd14b","Neuron","Group enriched"
"Abhd14b","Endothelial Cells","Group enriched"
"Abhd14b","Newly Formed Oligodendrocyte","Group enriched"
"Abhd14b","Myelinating Oligodendrocytes","Group enriched"
"Tmem130","Neuron","Tissue enriched"
"Ptprn2","Neuron","Group enriched"
"Ptprn2","Oligodendrocyte Precursor Cell","Group enriched"
"Dok4","Endothelial Cells","Tissue enriched"
"Lad1","Oligodendrocyte Precursor Cell","Group enriched"
"Lad1","Newly Formed Oligodendrocyte","Group enriched"
"Omg","Myelinating Oligodendrocytes","Group enriched"
"Omg","Oligodendrocyte Precursor Cell","Group enriched"
"Omg","Newly Formed Oligodendrocyte","Group enriched"
"Omg","Astrocytes","Group enriched"
"Pcdhga11","Oligodendrocyte Precursor Cell","Group enriched"
"Pcdhga11","Astrocytes","Group enriched"
"Pcdhga11","Newly Formed Oligodendrocyte","Group enriched"
"Pcdhga11","Neuron","Group enriched"
"Pcdhga11","Myelinating Oligodendrocytes","Group enriched"
"Neurod2","Neuron","Tissue enriched"
"Rasal2","Endothelial Cells","Group enriched"
"Rasal2","Astrocytes","Group enriched"
"Rasal2","Neuron","Group enriched"
"Rasal2","Oligodendrocyte Precursor Cell","Group enriched"
"Rasal2","Newly Formed Oligodendrocyte","Group enriched"
"Rasal2","Myelinating Oligodendrocytes","Group enriched"
"Ablim1","Endothelial Cells","Group enriched"
"Ablim1","Neuron","Group enriched"
"Rem2","Neuron","Tissue enriched"
"Bambi","Endothelial Cells","Tissue enriched"
"Ppip5k2","Neuron","Group enriched"
"Ppip5k2","Endothelial Cells","Group enriched"
"Ppip5k2","Oligodendrocyte Precursor Cell","Group enriched"
"Ppip5k2","Newly Formed Oligodendrocyte","Group enriched"
"Ppip5k2","Astrocytes","Group enriched"
"Ppip5k2","Myelinating Oligodendrocytes","Group enriched"
"Tecpr2","Newly Formed Oligodendrocyte","Group enriched"
"Tecpr2","Myelinating Oligodendrocytes","Group enriched"
"Tecpr2","Astrocytes","Group enriched"
"Tecpr2","Neuron","Group enriched"
"Tecpr2","Oligodendrocyte Precursor Cell","Group enriched"
"Dnalc1","Neuron","Group enriched"
"Dnalc1","Oligodendrocyte Precursor Cell","Group enriched"
"Dnalc1","Astrocytes","Group enriched"
"Dnalc1","Newly Formed Oligodendrocyte","Group enriched"
"Dnalc1","Endothelial Cells","Group enriched"
"Dnalc1","Myelinating Oligodendrocytes","Group enriched"
"Unc5a","Neuron","Group enriched"
"Unc5a","Oligodendrocyte Precursor Cell","Group enriched"
"Smc3","Astrocytes","Group enriched"
"Smc3","Oligodendrocyte Precursor Cell","Group enriched"
"Smc3","Neuron","Group enriched"
"Smc3","Endothelial Cells","Group enriched"
"Smc3","Newly Formed Oligodendrocyte","Group enriched"
"Fam20a","Astrocytes","Tissue enriched"
"Tmem25","Neuron","Group enriched"
"Tmem25","Newly Formed Oligodendrocyte","Group enriched"
"Tmem25","Myelinating Oligodendrocytes","Group enriched"
"Tmem25","Astrocytes","Group enriched"
"Tmem25","Oligodendrocyte Precursor Cell","Group enriched"
"Ccdc64","Neuron","Group enriched"
"Ccdc64","Oligodendrocyte Precursor Cell","Group enriched"
"Ephx4","Newly Formed Oligodendrocyte","Group enriched"
"Ephx4","Oligodendrocyte Precursor Cell","Group enriched"
"Ephx4","Myelinating Oligodendrocytes","Group enriched"
"Ephx4","Neuron","Group enriched"
"Pomc","Endothelial Cells","Tissue enriched"
"Serpinb9","Endothelial Cells","Tissue enriched"
"Efnb3","Myelinating Oligodendrocytes","Group enriched"
"Efnb3","Newly Formed Oligodendrocyte","Group enriched"
"Efnb3","Neuron","Group enriched"
"Klf9","Neuron","Group enriched"
"Klf9","Astrocytes","Group enriched"
"Klf9","Endothelial Cells","Group enriched"
"Klf9","Oligodendrocyte Precursor Cell","Group enriched"
"Klf9","Newly Formed Oligodendrocyte","Group enriched"
"Klf9","Myelinating Oligodendrocytes","Group enriched"
"Lmbrd2","Neuron","Group enriched"
"Lmbrd2","Oligodendrocyte Precursor Cell","Group enriched"
"Lmbrd2","Newly Formed Oligodendrocyte","Group enriched"
"Lmbrd2","Astrocytes","Group enriched"
"Lmbrd2","Endothelial Cells","Group enriched"
"Lmbrd2","Myelinating Oligodendrocytes","Group enriched"
"Kcnk2","Astrocytes","Group enriched"
"Kcnk2","Oligodendrocyte Precursor Cell","Group enriched"
"Kcnk2","Neuron","Group enriched"
"Ina","Neuron","Tissue enriched"
"Fam5b","Neuron","Group enriched"
"Fam5b","Oligodendrocyte Precursor Cell","Group enriched"
"Fam5b","Newly Formed Oligodendrocyte","Group enriched"
"Fam5b","Astrocytes","Group enriched"
"Fbll1","Neuron","Group enriched"
"Fbll1","Oligodendrocyte Precursor Cell","Group enriched"
"Sox8","Oligodendrocyte Precursor Cell","Group enriched"
"Sox8","Newly Formed Oligodendrocyte","Group enriched"
"Sox8","Myelinating Oligodendrocytes","Group enriched"
"Sox8","Astrocytes","Group enriched"
"Fam69a","Neuron","Group enriched"
"Fam69a","Oligodendrocyte Precursor Cell","Group enriched"
"Fam69a","Endothelial Cells","Group enriched"
"Fam69a","Newly Formed Oligodendrocyte","Group enriched"
"Fam69a","Astrocytes","Group enriched"
"Fam69a","Myelinating Oligodendrocytes","Group enriched"
"1110067D22Rik","Oligodendrocyte Precursor Cell","Group enriched"
"1110067D22Rik","Astrocytes","Group enriched"
"1110067D22Rik","Neuron","Group enriched"
"1110067D22Rik","Endothelial Cells","Group enriched"
"1110067D22Rik","Newly Formed Oligodendrocyte","Group enriched"
"Ank3","Newly Formed Oligodendrocyte","Group enriched"
"Ank3","Neuron","Group enriched"
"Ank3","Myelinating Oligodendrocytes","Group enriched"
"Ank3","Oligodendrocyte Precursor Cell","Group enriched"
"Klhl11","Neuron","Group enriched"
"Klhl11","Oligodendrocyte Precursor Cell","Group enriched"
"Klhl11","Newly Formed Oligodendrocyte","Group enriched"
"Klhl11","Astrocytes","Group enriched"
"Klhl11","Endothelial Cells","Group enriched"
"Kcnt1","Neuron","Tissue enriched"
"Tcf7","Endothelial Cells","Tissue enriched"
"Rnpc3","Neuron","Group enriched"
"Rnpc3","Astrocytes","Group enriched"
"Rnpc3","Oligodendrocyte Precursor Cell","Group enriched"
"Rnpc3","Endothelial Cells","Group enriched"
"Rnpc3","Newly Formed Oligodendrocyte","Group enriched"
"Upf3b","Astrocytes","Group enriched"
"Upf3b","Oligodendrocyte Precursor Cell","Group enriched"
"Upf3b","Endothelial Cells","Group enriched"
"Upf3b","Neuron","Group enriched"
"Upf3b","Newly Formed Oligodendrocyte","Group enriched"
"Rdh5","Astrocytes","Tissue enriched"
"Grm3","Astrocytes","Tissue enriched"
"Gng11","Endothelial Cells","Group enriched"
"Gng11","Myelinating Oligodendrocytes","Group enriched"
"E130102H24Rik","Neuron","Group enriched"
"E130102H24Rik","Astrocytes","Group enriched"
"E130102H24Rik","Oligodendrocyte Precursor Cell","Group enriched"
"Apc2","Neuron","Group enriched"
"Apc2","Oligodendrocyte Precursor Cell","Group enriched"
"Apc2","Astrocytes","Group enriched"
"Apc2","Newly Formed Oligodendrocyte","Group enriched"
"Apc2","Myelinating Oligodendrocytes","Group enriched"
"Ak5","Oligodendrocyte Precursor Cell","Group enriched"
"Ak5","Neuron","Group enriched"
"Acer2","Endothelial Cells","Tissue enriched"
"Myo9a","Astrocytes","Group enriched"
"Myo9a","Neuron","Group enriched"
"Myo9a","Newly Formed Oligodendrocyte","Group enriched"
"Myo9a","Endothelial Cells","Group enriched"
"Myo9a","Oligodendrocyte Precursor Cell","Group enriched"
"Mcam","Endothelial Cells","Group enriched"
"Mcam","Newly Formed Oligodendrocyte","Group enriched"
"Mcam","Myelinating Oligodendrocytes","Group enriched"
"1300002E11Rik","Astrocytes","Group enriched"
"1300002E11Rik","Endothelial Cells","Group enriched"
"1300002E11Rik","Oligodendrocyte Precursor Cell","Group enriched"
"1300002E11Rik","Newly Formed Oligodendrocyte","Group enriched"
"1300002E11Rik","Neuron","Group enriched"
"1300002E11Rik","Myelinating Oligodendrocytes","Group enriched"
"Mmp24","Neuron","Group enriched"
"Mmp24","Oligodendrocyte Precursor Cell","Group enriched"
"AW011738","Astrocytes","Tissue enriched"
"Plch2","Neuron","Group enriched"
"Plch2","Newly Formed Oligodendrocyte","Group enriched"
"Plch2","Myelinating Oligodendrocytes","Group enriched"
"Phlda3","Myelinating Oligodendrocytes","Group enriched"
"Phlda3","Newly Formed Oligodendrocyte","Group enriched"
"3830406C13Rik","Neuron","Group enriched"
"3830406C13Rik","Oligodendrocyte Precursor Cell","Group enriched"
"3830406C13Rik","Newly Formed Oligodendrocyte","Group enriched"
"3830406C13Rik","Endothelial Cells","Group enriched"
"3830406C13Rik","Astrocytes","Group enriched"
"3830406C13Rik","Myelinating Oligodendrocytes","Group enriched"
"Acat3","Astrocytes","Group enriched"
"Acat3","Myelinating Oligodendrocytes","Group enriched"
"Acat3","Newly Formed Oligodendrocyte","Group enriched"
"Acat3","Oligodendrocyte Precursor Cell","Group enriched"
"Acat3","Neuron","Group enriched"
"Cyb561","Neuron","Group enriched"
"Cyb561","Endothelial Cells","Group enriched"
"Gdpd3","Endothelial Cells","Tissue enriched"
"Rnft2","Oligodendrocyte Precursor Cell","Group enriched"
"Rnft2","Neuron","Group enriched"
"Rnft2","Newly Formed Oligodendrocyte","Group enriched"
"Rnft2","Astrocytes","Group enriched"
"Rnft2","Myelinating Oligodendrocytes","Group enriched"
"Lrrc49","Endothelial Cells","Group enriched"
"Lrrc49","Oligodendrocyte Precursor Cell","Group enriched"
"Lrrc49","Astrocytes","Group enriched"
"Lrrc49","Neuron","Group enriched"
"Lrrc49","Newly Formed Oligodendrocyte","Group enriched"
"Hap1","Neuron","Group enriched"
"Hap1","Oligodendrocyte Precursor Cell","Group enriched"
"Hap1","Newly Formed Oligodendrocyte","Group enriched"
"1110034B05Rik","Oligodendrocyte Precursor Cell","Group enriched"
"1110034B05Rik","Astrocytes","Group enriched"
"1110034B05Rik","Neuron","Group enriched"
"1110034B05Rik","Newly Formed Oligodendrocyte","Group enriched"
"1110034B05Rik","Endothelial Cells","Group enriched"
"1110034B05Rik","Myelinating Oligodendrocytes","Group enriched"
"Zrsr1","Neuron","Group enriched"
"Zrsr1","Endothelial Cells","Group enriched"
"Zrsr1","Newly Formed Oligodendrocyte","Group enriched"
"Zrsr1","Myelinating Oligodendrocytes","Group enriched"
"Zrsr1","Astrocytes","Group enriched"
