"Gene","Tissue","Group"
"Rhog","Myelinating Oligodendrocytes","Group enriched"
"Rhog","Newly Formed Oligodendrocyte","Group enriched"
"Arhgdib","Microglia","Tissue enriched"
"Uba52","Endothelial Cells","Group enriched"
"Uba52","Microglia","Group enriched"
"Uba52","Myelinating Oligodendrocytes","Group enriched"
"Uba52","Newly Formed Oligodendrocyte","Group enriched"
"Uba52","Oligodendrocyte Precursor Cell","Group enriched"
"Uba52","Neuron","Group enriched"
"Bcl2a1d","Microglia","Tissue enriched"
"Cebpb","Microglia","Tissue enriched"
"Man2b1","Microglia","Tissue enriched"
"Syngr2","Microglia","Tissue enriched"
"Cyth4","Microglia","Tissue enriched"
"Gns","Microglia","Tissue enriched"
"Lpcat2","Microglia","Tissue enriched"
"Mapkapk2","Microglia","Tissue enriched"
"Bin1","Microglia","Group enriched"
"Bin1","Myelinating Oligodendrocytes","Group enriched"
"Bin1","Newly Formed Oligodendrocyte","Group enriched"
"Bin1","Neuron","Group enriched"
"Slc3a2","Endothelial Cells","Group enriched"
"Slc3a2","Microglia","Group enriched"
"Slc3a2","Astrocytes","Group enriched"
"Il1a","Microglia","Tissue enriched"
"P2ry13","Microglia","Tissue enriched"
"Bsg","Endothelial Cells","Tissue enriched"
"Clic1","Microglia","Group enriched"
"Clic1","Endothelial Cells","Group enriched"
"Hmox1","Microglia","Tissue enriched"
"Ckb","Oligodendrocyte Precursor Cell","Group enriched"
"Ckb","Astrocytes","Group enriched"
"Ckb","Microglia","Group enriched"
"Ckb","Myelinating Oligodendrocytes","Group enriched"
"Ckb","Newly Formed Oligodendrocyte","Group enriched"
"Ckb","Neuron","Group enriched"
"Tgfb1","Microglia","Tissue enriched"
"Irf8","Microglia","Tissue enriched"
"Tcirg1","Microglia","Tissue enriched"
"Lgals9","Microglia","Group enriched"
"Lgals9","Endothelial Cells","Group enriched"
"Ccl2","Microglia","Tissue enriched"
"Vasp","Microglia","Group enriched"
"Vasp","Endothelial Cells","Group enriched"
"Nckap1l","Microglia","Tissue enriched"
"Arl4c","Microglia","Tissue enriched"
"Parvg","Microglia","Tissue enriched"
"Slc2a5","Microglia","Tissue enriched"
"Lyz2","Microglia","Tissue enriched"
"Plau","Microglia","Tissue enriched"
"Osm","Microglia","Tissue enriched"
"Dusp2","Microglia","Group enriched"
"Dusp2","Endothelial Cells","Group enriched"
"Irf5","Microglia","Tissue enriched"
"Tnfrsf12a","Microglia","Group enriched"
"Tnfrsf12a","Endothelial Cells","Group enriched"
"Ccl9","Microglia","Tissue enriched"
"Nfkbid","Microglia","Tissue enriched"
"H2-K1","Microglia","Group enriched"
"H2-K1","Endothelial Cells","Group enriched"
"Inpp5d","Microglia","Tissue enriched"
"Arrb2","Microglia","Tissue enriched"
"Rps6ka1","Microglia","Tissue enriched"
"Csf1","Microglia","Tissue enriched"
"Rgs1","Microglia","Tissue enriched"
"Cd82","Microglia","Group enriched"
"Cd82","Endothelial Cells","Group enriched"
"Cd82","Myelinating Oligodendrocytes","Group enriched"
"Cd82","Newly Formed Oligodendrocyte","Group enriched"
"Tubb5","Neuron","Group enriched"
"Tubb5","Endothelial Cells","Group enriched"
"Tubb5","Oligodendrocyte Precursor Cell","Group enriched"
"Tubb5","Microglia","Group enriched"
